"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gender","Total - gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age group 3 6","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55 to 59 years","1,237,155","1,235,392","1,231,761","1,240,028","1,266,556","1,292,804","1,329,681","1,375,711","1,435,302","1,495,032","1,555,993","1,628,818","1,749,917","1,847,986","1,932,713","2,016,141","2,087,911","2,111,616","2,152,347","2,213,771","2,285,823","2,353,006","2,431,736","2,507,953","2,565,969","2,613,963","2,665,387","2,697,223","2,729,826","2,754,235","2,747,541","2,690,509","2,624,381","2,549,619","2,492,843","2,446,446"
"60 to 64 years","1,182,798","1,191,257","1,202,832","1,208,807","1,210,459","1,208,185","1,206,562","1,204,358","1,211,134","1,231,580","1,253,214","1,288,869","1,338,492","1,401,202","1,466,584","1,531,277","1,603,056","1,715,884","1,809,937","1,894,127","1,981,012","2,049,927","2,070,033","2,110,488","2,171,320","2,242,875","2,312,728","2,387,488","2,458,662","2,516,589","2,565,102","2,612,928","2,645,150","2,681,436","2,712,778","2,708,208"
"65 to 69 years","1,072,184","1,086,077","1,089,479","1,098,424","1,102,407","1,111,958","1,122,616","1,136,527","1,143,492","1,144,643","1,141,975","1,142,022","1,140,929","1,149,245","1,171,532","1,194,141","1,235,105","1,284,540","1,343,881","1,404,407","1,464,190","1,531,972","1,644,537","1,740,936","1,822,416","1,902,798","1,969,001","1,993,484","2,031,297","2,091,884","2,161,130","2,226,492","2,304,280","2,379,499","2,442,866","2,494,286"
"70 to 74 years","799,619","834,625","873,963","908,621","941,749","956,520","966,526","973,088","984,652","991,736","1,005,025","1,019,563","1,033,204","1,040,506","1,043,427","1,043,612","1,046,463","1,048,999","1,061,350","1,086,717","1,114,554","1,152,876","1,194,020","1,248,131","1,303,894","1,357,604","1,422,775","1,532,211","1,623,616","1,705,206","1,784,158","1,845,779","1,870,380","1,910,982","1,973,110","2,044,533"
"75 to 79 years","609,216","622,563","632,467","636,933","640,148","659,681","689,066","723,965","756,789","787,872","804,913","818,923","828,901","842,260","851,039","863,346","877,367","891,488","901,688","907,701","913,295","918,922","925,106","939,223","961,506","982,945","1,014,229","1,056,966","1,108,116","1,162,495","1,213,690","1,272,339","1,372,752","1,458,583","1,535,283","1,609,542"
"80 to 84 years","367,289","382,053","397,410","413,158","430,370","447,593","457,253","465,177","469,348","475,350","495,386","523,139","554,253","583,255","610,758","628,493","643,365","650,756","661,820","671,003","685,011","700,691","714,337","723,694","730,735","734,960","742,361","750,000","763,954","786,478","810,325","841,433","875,752","917,461","963,055","1,008,273"
"85 to 89 years","186,276","192,155","199,202","206,595","214,083","222,068","231,968","240,548","250,718","262,333","275,409","283,959","291,106","296,519","303,293","320,466","344,890","366,952","386,560","405,528","417,861","426,501","437,096","448,374","457,552","467,131","480,565","492,635","501,535","509,176","514,268","521,396","527,824","540,339","558,478","579,797"
"90 to 94 years","..","..","..","..","..","..","..","..","..","..","101,285","105,768","111,008","117,128","123,265","129,388","135,100","139,558","143,766","149,284","161,673","175,029","188,023","198,532","208,822","214,913","223,084","228,108","233,776","239,644","246,060","255,977","262,016","266,566","270,684","275,677"
"95 to 99 years","..","..","..","..","..","..","..","..","..","..","23,867","24,925","26,065","27,606","28,514","29,976","32,134","34,059","36,468","38,817","41,424","43,133","45,009","46,795","49,353","53,447","59,038","63,228","66,092","68,830","69,996","71,970","74,788","77,288","80,331","84,078"
"100 years and older","..","..","..","..","..","..","..","..","..","..","3,393","3,523","3,732","3,854","3,976","4,091","4,430","4,595","4,879","5,114","5,490","6,031","6,603","6,951","7,610","7,909","8,632","8,851","9,054","9,546","9,894","10,604","11,152","11,406","11,919","12,281"
,"Years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Median age","32.9","33.3","33.6","34.0","34.4","34.8","35.2","35.6","36.0","36.4","36.8","37.2","37.6","38.0","38.3","38.6","38.9","39.2","39.4","39.6","39.8","40.0","40.1","40.3","40.5","40.6","40.7","40.8","40.7","40.7","40.8","41.0","40.9","40.6","40.3","40.6"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
